rid,ts,val
127,2016-01-10 01:03:00,0.7460095
128,2016-01-10 01:03:30,0.677501435
129,2016-01-10 01:04:00,0.612214748
130,2016-01-10 01:04:30,0.550551952
131,2016-01-10 01:05:00,0.492893219
132,2016-01-10 01:05:30,0.439594034
133,2016-01-10 01:06:00,0.390983006
134,2016-01-10 01:06:30,0.347359836
135,2016-01-10 01:07:00,0.308993476
136,2016-01-10 01:07:30,0.276120467
137,2016-01-10 01:08:00,0.248943484
138,2016-01-10 01:08:30,0.22763008
139,2016-01-10 01:09:00,0.212311659
140,2016-01-10 01:09:30,0.203082666
141,2016-01-10 01:10:00,0.2
142,2016-01-10 01:10:30,0.203082666
143,2016-01-10 01:11:00,0.212311659
144,2016-01-10 01:11:30,0.22763008
145,2016-01-10 01:12:00,0.248943484
146,2016-01-10 01:12:30,0.276120467
147,2016-01-10 01:13:00,0.308993476
148,2016-01-10 01:13:30,0.347359836
149,2016-01-10 01:14:00,0.390983006
150,2016-01-10 01:14:30,0.439594034
151,2016-01-10 01:15:00,0.492893219
152,2016-01-10 01:15:30,0.550551952
153,2016-01-10 01:16:00,0.612214748
154,2016-01-10 01:16:30,0.677501435
155,2016-01-10 01:17:00,0.7460095
156,2016-01-10 01:17:30,0.817316568
157,2016-01-10 01:18:00,0.890983006
158,2016-01-10 01:18:30,0.966554636
159,2016-01-10 01:19:00,1.043565535
160,2016-01-10 01:19:30,1.121540904
161,2016-01-10 01:20:00,1.2
162,2016-01-10 01:20:30,1.278459096
163,2016-01-10 01:21:00,1.356434465
164,2016-01-10 01:21:30,1.433445364
165,2016-01-10 01:22:00,1.509016994
166,2016-01-10 01:22:30,1.582683432
167,2016-01-10 01:23:00,1.6539905
168,2016-01-10 01:23:30,1.722498565
169,2016-01-10 01:24:00,1.787785252
170,2016-01-10 01:24:30,1.849448048
171,2016-01-10 01:25:00,1.907106781
172,2016-01-10 01:25:30,1.960405966
173,2016-01-10 01:26:00,2.009016994
174,2016-01-10 01:26:30,2.052640164
175,2016-01-10 01:27:00,2.091006524
176,2016-01-10 01:27:30,2.123879533
177,2016-01-10 01:28:00,2.151056516
178,2016-01-10 01:28:30,2.17236992
179,2016-01-10 01:29:00,2.187688341
180,2016-01-10 01:29:30,2.196917334
181,2016-01-10 01:30:00,2.2
182,2016-01-10 01:30:30,2.196917334
183,2016-01-10 01:31:00,2.187688341
184,2016-01-10 01:31:30,2.17236992
185,2016-01-10 01:32:00,2.151056516
186,2016-01-10 01:32:30,2.123879533
187,2016-01-10 01:33:00,2.091006524
188,2016-01-10 01:33:30,2.052640164
189,2016-01-10 01:34:00,2.009016994
190,2016-01-10 01:34:30,1.960405966
191,2016-01-10 01:35:00,1.907106781
192,2016-01-10 01:35:30,1.849448048
193,2016-01-10 01:36:00,1.787785252
194,2016-01-10 01:36:30,1.722498565
195,2016-01-10 01:37:00,1.6539905
196,2016-01-10 01:37:30,1.582683432
197,2016-01-10 01:38:00,1.509016994
198,2016-01-10 01:38:30,1.433445364
199,2016-01-10 01:39:00,1.356434465
200,2016-01-10 01:39:30,1.278459096
201,2016-01-10 01:40:00,1.2
202,2016-01-10 01:40:30,1.121540904
203,2016-01-10 01:41:00,1.043565535
204,2016-01-10 01:41:30,0.966554636
205,2016-01-10 01:42:00,0.890983006
206,2016-01-10 01:42:30,0.817316568
207,2016-01-10 01:43:00,0.7460095
208,2016-01-10 01:43:30,0.677501435
209,2016-01-10 01:44:00,0.612214748
210,2016-01-10 01:44:30,0.550551952
211,2016-01-10 01:45:00,0.492893219
212,2016-01-10 01:45:30,0.439594034
213,2016-01-10 01:46:00,0.390983006
214,2016-01-10 01:46:30,0.347359836
215,2016-01-10 01:47:00,0.308993476
216,2016-01-10 01:47:30,0.276120467
217,2016-01-10 01:48:00,0.248943484
218,2016-01-10 01:48:30,0.22763008
219,2016-01-10 01:49:00,0.212311659
220,2016-01-10 01:49:30,0.203082666
221,2016-01-10 01:50:00,0.2
222,2016-01-10 01:50:30,0.203082666
223,2016-01-10 01:51:00,0.212311659
224,2016-01-10 01:51:30,0.22763008
225,2016-01-10 01:52:00,0.248943484
226,2016-01-10 01:52:30,0.276120467
227,2016-01-10 01:53:00,0.308993476
228,2016-01-10 01:53:30,0.347359836
229,2016-01-10 01:54:00,0.390983006
230,2016-01-10 01:54:30,0.439594034
231,2016-01-10 01:55:00,0.492893219
232,2016-01-10 01:55:30,0.550551952
233,2016-01-10 01:56:00,0.612214748
234,2016-01-10 01:56:30,0.677501435
235,2016-01-10 01:57:00,0.7460095
236,2016-01-10 01:57:30,0.817316568
237,2016-01-10 01:58:00,0.890983006
238,2016-01-10 01:58:30,0.966554636
239,2016-01-10 01:59:00,1.043565535
240,2016-01-10 01:59:30,1.121540904
241,2016-01-10 02:00:00,1.2
242,2016-01-10 02:00:30,1.278459096
243,2016-01-10 02:01:00,1.356434465
244,2016-01-10 02:01:30,1.433445364
245,2016-01-10 02:02:00,1.509016994
246,2016-01-10 02:02:30,1.582683432
247,2016-01-10 02:03:00,1.6539905
248,2016-01-10 02:03:30,1.722498565
249,2016-01-10 02:04:00,1.787785252
250,2016-01-10 02:04:30,1.849448048
251,2016-01-10 02:05:00,1.907106781
252,2016-01-10 02:05:30,1.960405966
253,2016-01-10 02:06:00,2.009016994
254,2016-01-10 02:06:30,2.052640164
255,2016-01-10 02:07:00,2.091006524
256,2016-01-10 02:07:30,2.123879533
257,2016-01-10 02:08:00,2.151056516
258,2016-01-10 02:08:30,2.17236992
259,2016-01-10 02:09:00,2.187688341
260,2016-01-10 02:09:30,2.196917334
261,2016-01-10 02:10:00,2.2
262,2016-01-10 02:10:30,2.196917334
263,2016-01-10 02:11:00,2.187688341
264,2016-01-10 02:11:30,2.17236992
265,2016-01-10 02:12:00,2.151056516
266,2016-01-10 02:12:30,2.123879533
267,2016-01-10 02:13:00,2.091006524
268,2016-01-10 02:13:30,2.052640164
269,2016-01-10 02:14:00,2.009016994
270,2016-01-10 02:14:30,1.960405966
271,2016-01-10 02:15:00,1.907106781
272,2016-01-10 02:15:30,1.849448048
273,2016-01-10 02:16:00,1.787785252
274,2016-01-10 02:16:30,1.722498565
275,2016-01-10 02:17:00,1.6539905
276,2016-01-10 02:17:30,1.582683432
277,2016-01-10 02:18:00,1.509016994
278,2016-01-10 02:18:30,1.433445364
279,2016-01-10 02:19:00,1.356434465
280,2016-01-10 02:19:30,1.278459096
281,2016-01-10 02:20:00,1.2
282,2016-01-10 02:20:30,1.121540904
283,2016-01-10 02:21:00,1.043565535
284,2016-01-10 02:21:30,0.966554636
285,2016-01-10 02:22:00,0.890983006
286,2016-01-10 02:22:30,0.817316568
287,2016-01-10 02:23:00,0.7460095
288,2016-01-10 02:23:30,0.677501435
289,2016-01-10 02:24:00,0.612214748
290,2016-01-10 02:24:30,0.550551952
291,2016-01-10 02:25:00,0.492893219
292,2016-01-10 02:25:30,0.439594034
293,2016-01-10 02:26:00,0.390983006
294,2016-01-10 02:26:30,0.347359836
295,2016-01-10 02:27:00,0.308993476
296,2016-01-10 02:27:30,0.276120467
297,2016-01-10 02:28:00,0.248943484
298,2016-01-10 02:28:30,0.22763008
299,2016-01-10 02:29:00,0.212311659
300,2016-01-10 02:29:30,0.203082666
301,2016-01-10 02:30:00,0.2
302,2016-01-10 02:30:30,0.203082666
303,2016-01-10 02:31:00,0.212311659
304,2016-01-10 02:31:30,0.22763008
305,2016-01-10 02:32:00,0.248943484
306,2016-01-10 02:32:30,0.276120467
307,2016-01-10 02:33:00,0.308993476
308,2016-01-10 02:33:30,0.347359836
309,2016-01-10 02:34:00,0.390983006
310,2016-01-10 02:34:30,0.439594034
311,2016-01-10 02:35:00,0.492893219
312,2016-01-10 02:35:30,0.550551952
313,2016-01-10 02:36:00,0.612214748
314,2016-01-10 02:36:30,0.677501435
315,2016-01-10 02:37:00,0.7460095
316,2016-01-10 02:37:30,0.817316568
317,2016-01-10 02:38:00,0.890983006
318,2016-01-10 02:38:30,0.966554636
319,2016-01-10 02:39:00,1.043565535
320,2016-01-10 02:39:30,1.121540904
321,2016-01-10 02:40:00,1.2
322,2016-01-10 02:40:30,1.278459096
323,2016-01-10 02:41:00,1.356434465
324,2016-01-10 02:41:30,1.433445364
325,2016-01-10 02:42:00,1.509016994
326,2016-01-10 02:42:30,1.582683432
327,2016-01-10 02:43:00,1.6539905
328,2016-01-10 02:43:30,1.722498565
329,2016-01-10 02:44:00,1.787785252
330,2016-01-10 02:44:30,1.849448048
331,2016-01-10 02:45:00,1.907106781
332,2016-01-10 02:45:30,1.960405966
333,2016-01-10 02:46:00,2.009016994
334,2016-01-10 02:46:30,2.052640164
335,2016-01-10 02:47:00,2.091006524
336,2016-01-10 02:47:30,2.123879533
337,2016-01-10 02:48:00,2.151056516
338,2016-01-10 02:48:30,2.17236992
339,2016-01-10 02:49:00,2.187688341
340,2016-01-10 02:49:30,2.196917334
341,2016-01-10 02:50:00,2.2
342,2016-01-10 02:50:30,2.196917334
343,2016-01-10 02:51:00,2.187688341
344,2016-01-10 02:51:30,2.17236992
345,2016-01-10 02:52:00,2.151056516
346,2016-01-10 02:52:30,2.123879533
347,2016-01-10 02:53:00,2.091006524
348,2016-01-10 02:53:30,2.052640164
349,2016-01-10 02:54:00,2.009016994
350,2016-01-10 02:54:30,1.960405966
351,2016-01-10 02:55:00,1.907106781
352,2016-01-10 02:55:30,1.849448048
353,2016-01-10 02:56:00,1.787785252
354,2016-01-10 02:56:30,1.722498565
355,2016-01-10 02:57:00,1.6539905
356,2016-01-10 02:57:30,1.582683432
357,2016-01-10 02:58:00,1.509016994
358,2016-01-10 02:58:30,1.433445364
359,2016-01-10 02:59:00,1.356434465
360,2016-01-10 02:59:30,1.278459096
